"","hr","r","rbi","sb","xavg","zsum"
"Mike Trout",2.23348527429829,2.54913990097195,2.06019966156166,1.57719909265033,2.57994317196831,10.9999671014505
"Andrew McCutchen",1.00586453818398,1.25122420610108,1.31254273755363,0.1371147124426,1.00890240569483,4.71564859997613
"Giancarlo Stanton",2.54427533407407,0.822725723105428,1.81864896303599,-0.467720727244645,-0.220205029257494,4.49772426371335
"Paul Goldschmidt",1.34773360393734,1.8660263773557,1.81864896303599,1.51959571744202,1.94077308586081,8.49277774763186
"Carlos Gomez",0.244428891733336,0.555690436600894,0.294579079481168,1.43319065462956,-0.646355221046591,1.88153384139836
"Edwin Encarnacion",2.32672229223103,1.44994814024399,2.24423828900979,-0.669332540473727,0.103289274769529,5.4548654557806
"Jose Bautista",1.70514217267948,1.22017359139125,1.44482050103198,-0.467720727244645,-0.737787858810374,3.16462767904768
"Jose Abreu",1.50312863382522,0.859986460757224,1.74963447774294,-0.770138447088268,1.65161323104882,4.99422435628594
"Miguel Cabrera",1.76730018463463,1.37542666494039,1.9049170696523,-0.8133409784945,2.81931427240943,7.05361721314226
"Robinson Cano",1.23895708301581,1.38163678788236,1.53683981475604,-0.582927477661264,1.98881080420482,5.56331701219777
"Anthony Rizzo",2.00039272946646,1.68593281203869,2.1809750108245,-0.00689372557817235,1.31886161246776,7.17926843921923
"Troy Tulowitzki",0.80385099932973,0.356966502457985,0.662656334377427,-0.755737603286191,-0.0127455481775547,1.0549906847014
"Adam Jones",1.58082614876917,1.3195355584627,1.1285041101055,-0.554125790057109,0.509088129938196,3.98382815721846
"Yasiel Puig",0.275507897710913,0.238974166560633,0.380847186097478,-0.165303007401022,0.645250415886336,1.37527665885434
"Adrian Beltre",0.92816702324004,0.891037075467053,1.43331808681647,-0.755737603286191,1.70041507688995,4.19719965912732
"Freddie Freeman",1.59636565175796,1.66730244321279,1.49083015789401,-0.381315664432182,1.51580883500706,5.88899142343964
"Jose Altuve",0.151191873800604,1.79771502499408,0.863948583148819,2.71486575301443,4.12570912321525,9.65343035817318
"Anthony Rendon",0.430902927598801,1.23880396021714,0.898455825795343,0.252321462859219,0.529955034894604,3.35043921136511
"Michael Brantley",-0.485927748739734,-0.164683824667152,0.386598393205232,0.266722306661296,1.41884286516556,1.4215519916252
"Jacoby Ellsbury",-0.641322778627621,0.543270190716962,-0.320800081048515,1.46199234223371,-0.0669646553305284,0.976175017944007
"Ian Desmond",0.617376963464266,0.605371420136621,0.760426855209246,0.799553527338156,0.782937471505815,3.5656662376541
"Ryan Braun",1.27003608899339,0.934507936060815,1.29528911623037,0.756350995931924,1.19572512267676,5.45190925989326
"Buster Posey",0.151191873800604,0.686103018382178,1.07099203902796,-0.510923258650877,2.04741601005235,3.44477968261222
"Hanley Ramirez",1.22341758002703,0.828935846047394,1.68061999244989,0.0363088058280595,0.858742399930305,4.62802462428268
"Josh Donaldson",2.2179457713095,2.16411227857007,2.03144362602289,-0.222906382609332,0.980698991165434,7.17129428445856
"Justin Upton",1.68960266969069,1.19533309962338,1.34704998020016,0.367528213275837,-0.446765316560488,4.15274864622958
"Corey Dickerson",0.710613981396998,0.0526704783016552,0.386598393205232,-0.626130009067495,-0.345391768172537,0.178361075663853
"Bryce Harper",1.96931372348888,1.83497576264587,1.70937602798866,0.770751839734001,1.19056272235886,7.47498007621628
"Starling Marte",-0.0663611680424385,0.953138304886712,0.541880985114592,3.42050709931622,1.86962274995526,6.71878797123034
"Evan Longoria",1.54974714279159,0.953138304886712,1.46207412235524,-0.683733384275805,0.255610506490515,3.53683669224825
"Jose Reyes",-0.796717808515509,-0.0342712428858676,-0.803901478099855,1.04436787197347,-0.0634096692140831,-0.653932326741846
"George Springer",1.50312863382522,1.94054785265929,0.85244616893331,0.482734963692455,0.0954372891106283,4.87429490822091
"Victor Martinez",0.601837460475477,0.11033590561991,1.01923117505818,-0.803054661493016,0.824092878842913,1.75244275850346
"Yoenis Cespedes",1.86053720256736,1.18912297668142,1.68061999244989,-0.352513976828027,0.555063133867651,4.9328293287383
"Albert Pujols",1.54974714279159,0.543270190716962,1.78414172038947,-0.510923258650877,-0.00340639628149295,3.36282939896565
"Carlos Gonzalez",1.75176068164584,1.17670273079749,1.76113689195845,-0.539724946255032,1.2998710133656,5.44974637151235
"Adrian Gonzalez",0.710613981396998,0.549480313658928,1.5425910218638,-0.842142666098655,0.645172770156803,2.60571542097787
"Ian Kinsler",0.461981933576378,1.92191748383339,0.725919612562721,0.295523994265451,1.06085738193993,4.46620040617788
"Matt Kemp",1.23895708301581,0.847566214873292,1.7553856848507,-0.381315664432182,0.328335966190735,3.78892928449836
"Billy Hamilton",-1.18520538323523,0.710943510150042,-1.12596907613408,6.24307248452337,-0.536461479394165,4.10638005590994
"Nelson Cruz",2.55981483706286,1.23880396021714,1.87616103411353,-0.626130009067495,0.885237144276806,5.93388696660284
"Kyle Seager",1.27003608899339,1.13323187020372,1.46207412235524,-0.410117352036336,0.677592436590568,4.13281716610659
"Kole Calhoun",0.508600442542744,1.26985457492697,0.731670819670475,-0.4965224148488,0.231632664005218,2.24523608629661
"Jason Kipnis",-0.0197426590760723,1.05250027195817,0.346339943450954,0.612342557911151,0.739767010916787,2.73120712516099
"Brian Dozier",1.96931372348888,1.79771502499408,1.16876255985978,0.713148464525692,-0.684588178336287,4.96435159453215
"Chris Carter",1.31665459795976,-0.201944562318947,0.403852014528495,-0.65493169667165,-1.72314450024115,-0.859514146743498
"Chris Davis",2.6375123520068,1.51825949260561,1.72662964931193,-0.726935915682037,-1.86065582524576,3.29480975299654
"Christian Yelich",0.151191873800604,1.09597113255193,1.0537384177047,0.569140026504919,1.88123743429109,4.75127888485325
"Todd Frazier",2.20240626832072,1.07734076372603,1.48507895078626,0.626743401713228,-1.29666319701087,4.09490618753536
"Nolan Arenado",2.74628887292832,1.92191748383339,2.77910055003092,-0.582927477661264,1.74394264037697,8.60832206950834
"Carlos Santana",1.50312863382522,1.40647727965022,1.14000652432101,-0.1797038512031,-0.786397928290342,3.08351065830302
"Jonathan Lucroy",0.259968394722125,0.388017117167814,0.61089547040764,-0.510923258650877,1.15236383417259,1.90032155781929
"Jason Heyward",-0.517006754717312,0.332126010690121,-0.119507832277124,0.655545089317383,-0.135039206748923,0.216117306264146
"Dustin Pedroia",-0.346072221840636,1.12081162431979,0.219813387080365,-0.237307226411409,2.01687975272812,2.77412531587623
"Hunter Pence",0.244428891733336,0.437698100703542,0.651153920161919,-0.438919039640491,0.770291428521291,1.6646533014796
"Starlin Castro",0.259968394722125,0.139612199489178,0.5533833993301,-0.410117352036336,0.393126072115459,0.935972713620525
"Matt Holliday",0.337665909666068,-0.25783566879664,0.438359257175019,-0.726935915682037,-0.220637082453331,-0.429383500090921
"Jay Bruce",1.13018056209429,0.388017117167814,1.06524083192021,-0.266108914015563,-1.31567492714434,1.00165467002242
"Kolten Wong",-0.470388245750945,0.0464603553596893,-0.269039217078729,0.583540870306996,-0.264074901037771,-0.37350113820076
"Joey Votto",1.13018056209429,1.55552023025741,1.24927945936834,-0.0788979445885588,2.2220683138717,6.07815062100318
"Matt Carpenter",0.695074478408209,1.49341900083775,0.840943754717802,-0.611729165265418,0.333018585433608,2.75072665413195
"Alex Gordon",0.337665909666068,0.375596871283883,-0.0447421398763211,-0.0500962569844042,-1.09435965874403,-0.475935274654806
"Dee Gordon",-1.54261395197737,1.3195355584627,-0.83840872074638,5.00459991754472,1.62230833628742,5.56542113957109
"Devin Mesoraco",-0.40823023379579,-1.31355656893085,-0.89592079182392,-0.683733384275805,-1.00333053431114,-4.3047715131375
"Marcell Ozuna",0.726153484385787,0.636422034846451,0.915709447118605,-0.683733384275805,0.348115802105527,1.94266738418056
"Mookie Betts",1.23895708301581,2.21379326210579,1.5425910218638,1.66360415546279,3.12119555292599,9.78014107537418
"Evan Gattis",1.02140404117277,-0.45655960293955,0.202559765757103,-0.755737603286191,-0.512189682065581,-0.500523081361446
"Manny Machado",2.26456428027587,1.82255551676194,1.72662964931193,-0.165303007401022,1.99330249463404,7.64174893358275
"Mark Trumbo",2.34226179521981,0.984188919596542,1.65761516401888,-0.698134228077882,-0.365259996949843,3.92067165380751
"Pablo Sandoval",-0.439309239773368,-0.661493660024425,-0.343804909479532,-0.8133409784945,0.126024260910023,-2.1319245268618
"Elvis Andrus",-1.02981035334734,0.506009453065167,0.0472771738477436,1.77881090587941,0.98749814408939,2.28978532353437
"Brett Gardner",-0.5325462577061,0.959348427828678,-0.332302495264024,0.799553527338156,-0.275860449797367,0.618192752399343
"Matt Adams",-0.687941287593988,-1.52470074895769,-0.993691312655739,-0.798940134692423,-0.285988754904443,-4.29126223880428
"Salvador Perez",0.695074478408209,-0.189524316435015,0.36934477188197,-0.856543509900732,-0.401452529747785,-0.383101105793353
"Ryan Zimmerman",-0.0663611680424385,-0.363407758810061,-0.11375662516937,-0.582927477661264,-0.887285183324991,-2.01373821300812
"Leonys Martin",-0.470388245750945,0.0899312159534506,-0.487585087173383,1.63480246785864,-0.911718354851535,-0.144958003963775
"Daniel Murphy",0.353205412654857,1.02144965724834,1.58284947161807,-0.222906382609332,3.29811414688138,6.03271230579332
"Gregory Polanco",0.430902927598801,1.19533309962338,0.835192547610048,1.43319065462956,-0.0284090245980954,3.86621020486369
"Charlie Blackmon",0.974785532206406,1.85360613147177,0.547632192222346,1.86521596869187,2.2734135777031,7.5146534022955
"Yan Gomes",-0.314993215863058,-0.990630175948618,-0.539345951143169,-0.8133409784945,-1.29404692741181,-3.95235724886116
"David Wright",-1.09196836530249,-1.60543234720324,-1.50554874524585,-0.568526633859186,-0.400846057617741,-5.17232214922851
"Lucas Duda",0.819390502318519,-0.12121296407339,0.271574251050152,-0.755737603286191,-0.846144008031945,-0.632129822022856
"Chase Utley",-1.09196836530249,-1.1396731265558,-1.2985052893667,-0.669332540473727,-0.750348244723478,-4.9498275664222
"Jorge Soler",0.213349885755759,-0.0963724723055267,0.0357747596322356,-0.683733384275805,-0.23509986369319,-0.766081074886528
